atr_5,volume_ma_5,volume,candle_range,alt_btc_ratio,upper_wick,ema_14_slope,ema_14_prev,rsi_7,lower_wick_ratio,ema_divergence_slope,upper_wick_ratio,ema_divergence,lower_wick,body_to_range,timestamp,binary_label
0.0243999999999999,1380536.752,1572311.5,0.0310000099999999,1.2632687077813842e-05,0.018,0.0068983664219526,1.1002622518353564,89.02431424753648,0.0322580541103016,0.0011657792951444,0.5806449739854943,0.0206469445913999,0.0009999999999998,0.3870966493236629,2024-11-16 06:00:00+00:00,1
0.0245999999999999,1377477.7440000002,923942.31,0.0170000099999999,1.2697885906257557e-05,0.0089999999999998,0.0066452508990255,1.107160618257309,89.15655131375179,0.0588234948097027,0.0006528583887972,0.5294114532873773,0.0212998029801971,0.0009999999999998,0.4117644636679717,2024-11-16 07:00:00+00:00,0
0.0263999999999998,1537243.9840000002,1690610.9,0.0250000099999999,1.2840988961780884e-05,0.006,0.0080258841124887,1.1138058691563346,89.28563988101425,0.0799999680000131,0.0016976978533782,0.2399999040000394,0.0229975008335754,0.002,0.6799997280001073,2024-11-16 08:00:00+00:00,0
0.0265999999999999,1467500.4840000002,1823255.51,0.0410000100000001,1.2637660623241632e-05,0.02,0.0041557662308235,1.1218317532688231,69.387705539394,0.0243902379536031,-0.0021130797564232,0.4878047590720086,0.0208844210771521,0.0010000000000001,0.4878047590720086,2024-11-16 09:00:00+00:00,1
0.0283999999999999,1399662.348,988191.52,0.02800001,1.2812667099445229e-05,0.006,0.0060016640667137,1.125987519499647,71.69806585976784,0.1428570918367529,3.035078908641964e-05,0.2142856377551293,0.0209147718662385,0.004,0.6428569132653881,2024-11-16 10:00:00+00:00,1
0.0292,1497203.384,2060016.68,0.0350000100000001,1.303064647910945e-05,0.0050000000000001,0.0074681088578185,1.1319891835663607,69.69692041631886,0.3714284653061547,0.0013059022840316,0.1428571020408307,0.0222206741502701,0.0130000000000001,0.4857141469388104,2024-11-16 11:00:00+00:00,0
0.0322,1711529.5580000002,1995573.18,0.03200001,1.3169078870790545e-05,0.0009999999999998,0.0076723610101094,1.1394572924241793,78.7878230793171,0.6562497949219426,0.0011581473462782,0.0312499902343745,0.0233788214965484,0.0210000000000001,0.3124999023437805,2024-11-16 12:00:00+00:00,1
0.0518,4547486.646,15870396.34,0.1230000099999999,1.3288379092112818e-05,0.1129999999999999,0.0078493795420948,1.1471296534342887,78.12494303389576,0.0162601612796617,0.0010235017251958,0.9186991123008852,0.0244023232217442,0.002,0.0650406451186468,2024-11-16 13:00:00+00:00,0
0.0548,5242719.072,5299417.64,0.05600001,1.3059537419752e-05,0.0289999999999999,0.0044027956031487,1.1549790329763836,64.22014224394535,0.1428571173469433,-0.0022481346526808,0.5178570503826676,0.0221541885690634,0.008,0.3392856536989924,2024-11-16 14:00:00+00:00,0
0.0632,6031121.94,4930205.86,0.07000001,1.2505357860920975e-05,0.004,-0.0036509104772708,1.1593818285795323,35.81079387327314,0.1285714102040827,-0.0087330938098781,0.057142848979593,0.0134210947591852,0.0089999999999998,0.814285597959202,2024-11-16 15:00:00+00:00,0
0.0633999999999999,6121696.238,2512888.17,0.0360000099999998,1.2592060821529886e-05,0.0169999999999999,-0.0019641224136348,1.1557309181022617,45.58821182959686,0.3055554706790347,-0.0050738808017267,0.472222091049419,0.0083472139574585,0.0109999999999998,0.2222221604938456,2024-11-16 16:00:00+00:00,0
0.0612,5968093.572,1227559.85,0.0210000100000001,1.2683706101918694e-05,0.002,-0.0001022394251501,1.1537667956886266,43.07689988166929,0.3333331746032537,-0.002176262986371,0.0952380498866424,0.0061709509710874,0.0070000000000001,0.5714282993198544,2024-11-16 17:00:00+00:00,0
0.0396,2927263.408,666245.52,0.0150000100000001,1.269399135012372e-05,0.006,0.0007113924982031,1.1536645562634764,37.81510380624152,0.1999998666667614,-0.0009202693068441,0.3999997333335081,0.0052506816642432,0.0030000000000001,0.3999997333335081,2024-11-16 18:00:00+00:00,0
0.031,2024255.138,784376.29,0.0130000099999999,1.2634434332994071e-05,0.0009999999999998,-0.0004501265015572,1.1543759487616796,30.50845647803429,0.3076920710061018,-0.0017065311049233,0.0769230177515169,0.0035441505593198,0.004,0.6153841420122037,2024-11-16 19:00:00+00:00,0
0.0207999999999999,1179893.266,708396.5,0.0190000099999999,1.2561705244875567e-05,0.0049999999999998,-0.0018567763013497,1.1539258222601223,22.499986875007707,0.157894653739651,-0.0025107169035107,0.2631577562327555,0.0010334336558091,0.0029999999999998,0.5789470637120809,2024-11-16 20:00:00+00:00,0
0.0168,844272.07,834782.19,0.01600001,1.266024496255227e-05,0.0030000000000001,-9.206127836280942e-06,1.1520690459587726,34.21050530933887,0.0624999609375174,-0.000266413775809,0.1874998828125801,0.00076701988,0.0009999999999998,0.7499995312502928,2024-11-16 21:00:00+00:00,0
0.0167999999999999,823394.3720000001,1123171.36,0.0210000099999999,1.2764536155244215e-05,0.0169999999999999,0.0001253546892086,1.1520598398309363,67.79652973293082,0.1428570748299598,-8.206961694257053e-05,0.8095234240364637,0.0006849502630574,0.0029999999999998,0.0476190249433269,2024-11-16 22:00:00+00:00,0
0.0169999999999999,881642.356,957485.44,0.01600001,1.2728106883422022e-05,0.0069999999999998,0.0001086407306474,1.152185194520145,61.99991320012147,0.5624996484377266,-7.617692644790175e-05,0.4374997265626639,0.0006087733366095,0.0090000000000001,0.0,2024-11-16 23:00:00+00:00,0
0.0173999999999999,842975.0519999999,591039.77,0.0150000100000001,1.260902123160955e-05,0.0050000000000001,-0.0009725113667722,1.1522938352507923,41.30428497174029,0.0666666222222587,-0.0010031407800783,0.3333331111112642,-0.0003943674434687,0.0010000000000001,0.5999996000002549,2024-11-17 00:00:00+00:00,0
0.0235999999999999,1196480.28,2475922.64,0.0500000099999998,1.226283815025444e-05,0.0029999999999998,-0.0059095098512025,1.15132132388402,16.66665170941522,0.1799999640000057,-0.0050722292589353,0.0599999880000004,-0.0054665967024041,0.0089999999999998,0.7599998480000337,2024-11-17 01:00:00+00:00,0
0.0273999999999999,1515680.3060000003,2430782.32,0.0350000099999999,1.2107880997524996e-05,0.0,-0.0073882418710422,1.1454118140328176,14.942516712917694,0.5142855673469824,-0.005098062461561,0.0,-0.0105646591639652,0.018,0.4857141469388135,2024-11-17 02:00:00+00:00,0
0.0283999999999999,1464017.188,864855.77,0.02600001,1.2177574072116504e-05,0.0,-0.0052031429549033,1.1380235721617753,25.882331626315164,0.6538459023669648,-0.0019115852945492,0.0,-0.0124762444585144,0.0170000000000001,0.3461537130177984,2024-11-17 03:00:00+00:00,0
0.0303999999999999,1583401.8539999998,1554408.77,0.02600001,1.2188659247482778e-05,0.008,-0.0038427238942495,1.132820429206872,19.23075197240223,0.4999998076923773,-0.0002433222928397,0.3076921893491579,-0.0127195667513542,0.0129999999999999,0.1923076183432279,2024-11-17 04:00:00+00:00,0
0.0311999999999999,1669687.0340000002,1022465.67,0.0190000099999999,1.2236082782239838e-05,0.014,-0.0029303607083495,1.1289777053126224,21.249981406266187,0.1052631024931045,0.0006158260680324,0.7368417174517319,-0.0121037406833217,0.002,0.157894653739651,2024-11-17 05:00:00+00:00,0
0.0265999999999999,1365998.904,957481.99,0.0270000099999999,1.242202586252546e-05,0.0070000000000001,-6.312613903158848e-06,1.126047344604273,36.36361065199237,0.0740740466392422,0.0030204116336653,0.2592591632373521,-0.0090833290496563,0.002,0.6666664197531723,2024-11-17 06:00:00+00:00,0
0.0225999999999999,1051479.486,858185.23,0.0150000099999999,1.2412921807427432e-05,0.0069999999999998,-0.000272137598716,1.1260410319903698,38.70964828306042,0.3333331111112691,0.0020327118635377,0.466666355555759,-0.0070506171861186,0.0050000000000001,0.1999998666667496,2024-11-17 07:00:00+00:00,0
0.0201999999999999,1055491.754,884917.11,0.01400001,1.2298715690952067e-05,0.0069999999999998,-0.0009025192522205,1.1257688943916535,59.99993000008175,0.1428570408163994,0.0009729499508366,0.49999964285739,-0.006077667235282,0.002,0.3571426020410064,2024-11-17 08:00:00+00:00,0
0.0171999999999999,910531.336,829606.68,0.0110000100000001,1.227884389153257e-05,0.0030000000000001,-0.0005155166852577,1.1248663751394332,84.44431308662422,0.5454540495872221,0.0010683397092199,0.2727270247936211,-0.005009327526062,0.006,0.181818016529074,2024-11-17 09:00:00+00:00,0
0.0157999999999999,918575.578,1062686.88,0.01200001,1.2245211737831663e-05,0.0,-0.0012467811272234,1.1243508584541757,69.04750396844587,0.4999995833336805,0.0001613983951951,0.0,-0.0048479291308669,0.006,0.4999995833336805,2024-11-17 10:00:00+00:00,0
0.016,1072617.1719999998,1727689.96,0.02800001,1.2019735744455569e-05,0.0,-0.0044138769769268,1.123104077326952,38.7096337149296,0.0714285459183764,-0.0026501600720945,0.0,-0.0074980892029614,0.002,0.928571096938894,2024-11-17 11:00:00+00:00,0
0.0172,1103000.256,1010100.65,0.0210000100000001,1.216503873269282e-05,0.002,-0.00142536004667,1.1186902003500252,50.64930460452835,0.0476190249433264,0.0006273322599039,0.0952380498866424,-0.0068707569430574,0.0010000000000001,0.8571424489797816,2024-11-17 12:00:00+00:00,0
0.0178,1156935.212,1154591.89,0.0170000099999999,1.217625605760452e-05,0.0009999999999998,-0.0020353120404472,1.1172648403033552,31.24996582035,0.5882349480970931,-6.320879962706805e-05,0.0588234948097027,-0.0069339657426845,0.01,0.3529409688582559,2024-11-17 13:00:00+00:00,0
0.019,1180540.892,947635.08,0.0170000100000001,1.214692665592673e-05,0.0070000000000001,-0.0024306037683876,1.115229528262908,29.8507150813424,0.3529409688582512,-0.000393286861668,0.4117644636679664,-0.0073272526043526,0.006,0.2352939792388342,2024-11-17 14:00:00+00:00,0
0.0192,1097657.042,648267.63,0.0130000100000001,1.2120539317467392e-05,0.0050000000000001,-0.002506523265936,1.1127989244945202,30.769197633171828,0.3846150887576293,-0.0003613947066058,0.3846150887576293,-0.0076886473109585,0.0050000000000001,0.2307690532545639,2024-11-17 15:00:00+00:00,0
0.0166,888856.442,683686.96,0.0150000100000001,1.2161829280643278e-05,0.0,-0.0013723201638111,1.1102924012285842,34.78257340898355,0.6666662222225136,0.0007213816844049,0.0,-0.0069672656265535,0.01,0.3333331111112642,2024-11-17 16:00:00+00:00,0
0.0174,885274.1359999999,992189.12,0.0250000100000001,1.2298702586238305e-05,0.002,0.0006773225246969,1.108920081064773,49.35060448646353,0.3599998560000604,0.0023344736157482,0.0799999680000124,-0.0046327920108053,0.0090000000000001,0.5599997760000871,2024-11-17 17:00:00+00:00,0
0.0200000000000001,913018.842,1293315.42,0.03000001,1.207525351360968e-05,0.0010000000000001,-0.0031463204785959,1.10959740358947,47.49995843753637,0.0666666444444518,-0.0015948324160701,0.0333333222222296,-0.0062276244268755,0.002,0.8999997000000962,2024-11-17 18:00:00+00:00,0
0.0202,890883.644,836959.09,0.01800001,1.2094087335080628e-05,0.0050000000000001,-0.0023268110814498,1.106451083110874,35.38457727814743,0.5555552469137517,-0.0004790535895498,0.277777623456882,-0.0067066780164253,0.01,0.1666665740741193,2024-11-17 19:00:00+00:00,0
